name,brand,unit,category,sub_category,sku
TUSKER,LAGERGEN,Pcs,BEER,18023C128,1
TUSKER,MALTGEN,Pcs,BEER,18024C128,1
TUSKER,LITEGEN,Pcs,BEER,18025C128,1
KB,LAGERGEN,Pcs,BEER,18026C128,1
SUMMIT,LAGERGEN,Pcs,BEER,18027C128,1
WHITECAP,Pcs,BEER,18028C128,1,5
WHITECAP,CRISP,GEN,Pcs,BEER,18029C128
GUINNESS,Pcs,BEER,18030C128,1,5
PILSNER,LAGERGEN,Pcs,BEER,18031C128,1
BALOZI,GEN,Pcs,BEER,18032C128,1
BLACK,ICEGEN,Pcs,BEER,18033C128,1
HEINEKEN,Pcs,BEER,18034C128,1,5
HEINEKEN,ZEROGEN,Pcs,BEER,18035C128,1
TUSKER,NDIMUGEN,Pcs,BEER,18036C128,1
SNAPP,GEN,Pcs,CIDERS,18037C128,1
TUSKER,CIDERGEN,Pcs,CIDERS,18038C128,1
KINGFISHER,Pcs,CIDERS,18039C128,1,5
MANYATTA,Pcs,CIDERS,18040C128,1,5
DESPERADO,Pcs,CIDERS,18041C128,1,5
SAVANNA,DRYGEN,Pcs,CIDERS,18042C128,1
K,O,CIDERGEN,Pcs,CIDERS,18043C128
PINEAPPLE,PUNCH,GEN,Pcs,CIDERS,18044C128
HUNTERS,GOLDGEN,Pcs,CIDERS,18045C128,1
HUNTERS,DRYGEN,Pcs,CIDERS,18046C128,1
WHITECAP,CANGEN,Pcs,CANS,18047C128,1
GUINNESS,CANGEN,Pcs,CANS,18048C128,1
TUSKER,LAGER,CAN,GEN,Pcs,CANS
TUSKER,MALT,CAN,GEN,Pcs,CANS
TUSKER,LITE,CANGEN,Pcs,CANS,18051C128
PILSNER,CANGEN,Pcs,CANS,18052C128,1
PINEAPPLE,PUNCH,CAN,GEN,Pcs,CANS
ALVARO,CANGEN,Pcs,CANS,18054C128,1
SNAPP,CANGEN,Pcs,CANS,18055C128,1
BALOZI,CANSGEN,Pcs,CANS,18056C128,1
TUSKER,CIDER,CAN,GEN,Pcs,CANS
HEINEKEN,CANGEN,Pcs,CANS,18058C128,1
BLACK,ICE,CANGEN,Pcs,CANS,18059C128
GUARANA,Pcs,CANS,18060C128,1,5
JW,DOUBLE,BLACK,GEN,Pcs,WHISKEY
J,W,BLACK,750ML,GEN,Pcs
J,W,BLACK,1000ML,GEN,Pcs
JW,BLACK,375ML,GEN,Pcs,WHISKEY
JWRED,750MLGEN,Pcs,WHISKEY,18065C128,1
JWRED,1000MLGEN,Pcs,WHISKEY,18066C128,1
JWRED,375MLGEN,Pcs,WHISKEY,18067C128,1
JW,GOLD,RESERVE,750ML,GEN,Pcs
JW,GREEN,750ML,GEN,Pcs,WHISKEY
JW,PLATINUMGEN,Pcs,WHISKEY,18070C128,1
JW,BLUE,LABELGEN,Pcs,WHISKEY,18071C128
SINGLETON,12YRS,GEN,Pcs,WHISKEY,18072C128
SINGLETON15YRS,GEN,Pcs,WHISKEY,18073C128,1
GLENLIVET,12YRS,GEN,Pcs,WHISKEY,18074C128
GLENFIDDICH,12YRS,GEN,Pcs,WHISKEY,18075C128
GLENFIDDICH,15YRS,GEN,Pcs,WHISKEY,18076C128
JAMESON,350ML,GEN,Pcs,WHISKEY,18077C128
JAMESON,750ML,GEN,Pcs,WHISKEY,18078C128
GRANTS,750MLGEN,Pcs,WHISKEY,18079C128,1
GRANTS,1LGEN,Pcs,WHISKEY,18080C128,1
FAMOUS,GROUSE,1L,GEN,Pcs,WHISKEY
BOND,7,750MLGEN,Pcs,WHISKEY,18082C128
BOND,7,375MLGEN,Pcs,WHISKEY,18083C128
JACK,DANIELS,750ML,GEN,Pcs,WHISKEY
JACK,DANIELS,1000ML,GEN,Pcs,WHISKEY
JACK,DANIELS,350ML,GEN,Pcs,WHISKEY
HUNTERS,CHOICE,250ML,GEN,Pcs,WHISKEY
HUNTERS,CHOICE,750ML,GEN,Pcs,WHISKEY
HUNTERS,CHOICE,375ML,GEN,Pcs,WHISKEY
BLACK,AND,WHITE,375ML,GEN,Pcs
BLACK,AND,WHITE,750ML,GEN,Pcs
COUNTY,750MLGEN,Pcs,WHISKEY,18092C128,1
BLACK,LEBEL,375ML,GEN,Pcs,WHISKEY
RED,LEBEL,375ML,GEN,Pcs,WHISKEY
VAT,69,750MLGEN,Pcs,WHISKEY,18095C128
VAT,69,375MLGEN,Pcs,WHISKEY,18096C128
CHIVAS,REGAL,750ML,GEN,Pcs,WHISKEY
BEST,WHISKY,750ML,GEN,Pcs,WHISKEY
BEST,WHISKY,250ML,GEN,Pcs,WHISKEY
COGNACS,Pcs,WHISKEY,18100C128,1,5
HENNESSY,VSGEN,Pcs,WHISKEY,18101C128,1
HENNESSY,VSOPGEN,Pcs,WHISKEY,18102C128,1
MARTEL,VSGEN,Pcs,WHISKEY,18103C128,1
MARTEL,VSOPGEN,Pcs,WHISKEY,18104C128,1
REMY,MARTIN,VS,GEN,Pcs,WHISKEY
REMY,MARTIN,VSOP,GEN,Pcs,WHISKEY
GILBEYS,750MLGEN,Pcs,GIN,18107C128,1
GILBEYS,350,MLGEN,Pcs,GIN,18108C128
GILBEYS,250MLGEN,Pcs,GIN,18109C128,1
GORDONS,1LGEN,Pcs,GIN,18110C128,1
GORDONS,375ML,GEN,Pcs,GIN,18111C128
BEST,GIN,250MLGEN,Pcs,GIN,18112C128
GORDONS,MIXED,BERRY,GEN,Pcs,GIN
HENDRICKS,Pcs,GIN,18114C128,1,5
BEST,GIN,750MLGEN,Pcs,GIN,18115C128
TANQUERAY,10GEN,Pcs,GIN,18116C128,1
TANQUERAY,LONDON,GEN,Pcs,GIN,18117C128
JAMESON,100LGEN,Pcs,GIN,18118C128,1
BLACK,&,WHITE,1000L,GEN,Pcs
CAMINO,GOLD,750ML,GEN,Pcs,TEQUILLA
CAMINO,SILVER,750ML,GEN,Pcs,TEQUILLA
DON,JULIOGEN,Pcs,TEQUILLA,18122C128,1
JOSE,CUERVO,GOLD,750ML,GEN,Pcs
JOSE,CUERVO,SILVER,750ML,GEN,Pcs
VICEROY,750,ML,GEN,Pcs,BRANDY
VICEROY,375MLGEN,Pcs,BRANDY,18126C128,1
RICHOT,750MLGEN,Pcs,BRANDY,18127C128,1
RICHOT,375MLGEN,Pcs,BRANDY,18128C128,1
VICEROY250ML,Pcs,BRANDY,18129C128,1,5
RICHOT,250MLGEN,Pcs,BRANDY,18130C128,1
AMARULA,750ML,GEN,Pcs,LIQUER,18131C128
AMARULA,375ML,GEN,Pcs,LIQUER,18132C128
BAIEYS,CREAM,1L,GEN,Pcs,LIQUER
SOUTHERN,COMFORT,GEN,Pcs,LIQUER,18134C128
V&A,GEN,Pcs,LIQUER,18135C128,1
BAILEYS,375MLGEN,Pcs,LIQUER,18136C128,1
ZAPPA,SAMBUCCA,GEN,Pcs,LIQUER,18137C128
JAGERMEISTER,1000ML,GEN,Pcs,LIQUER,18138C128
JAGERMEISTER,750ML,GEN,Pcs,LIQUER,18139C128
CAPTN,MORGAN,GOLD,750ML,GEN,Pcs
CAPTN,MORGAN,GOLD,375,ML,GEN
CAPTN,MORGAN,S,GOLD,750ML,GEN
CAPTN,MORGAN,S,GOLD,350ML,GEN
MYERS,GEN,Pcs,RUM,18144C128,1
KENYA,CANE,250ML,GEN,Pcs,RUM
KENYA,CANE,350ML,GEN,Pcs,RUM
KENYA,CANE,750ML,GEN,Pcs,RUM
KONYAGI,Pcs,RUM,18148C128,1,5
SMIRNOFF,1LGEN,Pcs,VODKA,18149C128,1
SMIRNOFF,VODKA,750ML,GEN,Pcs,VODKA
SMIRNOFF,VODKA,375ML,GEN,Pcs,VODKA
ABSOLUT,VODKA,GEN,Pcs,VODKA,18152C128
SMIRNOFF,250ML,GEN,Pcs,VODKA,18153C128
CELLAR,CASK,RED,GEN,Pcs,WINES
CELLAR,CASK,WHITE,GEN,Pcs,WINES
4TH,STREET,RED,750ML,GEN,Pcs
4TH,STREET,WHITE,750ML,GEN,Pcs
4TH,STREET,ROSE,GEN,Pcs,WINES
FRONTERA,Pcs,WINES,18159C128,1,5
NAMAQUA,Pcs,WINES,18160C128,1,5
VERSUS,GEN,Pcs,WINES,18161C128,1
DROSTYHOF,WHITE,750ML,GEN,Pcs,WINES
JOSE,CUERVO,GOLD,1000ML,GEN,Pcs
AMARULA,1000ML,GEN,Pcs,WINES,18164C128
BALEYS,1000MLGEN,Pcs,WINES,18165C128,1
DROSTYHOF,RED,750ML,GEN,Pcs,WINES
ASCONI,WHITEGEN,Pcs,WINES,18167C128,1
ASCONI,RED,750ML,GEN,Pcs,WINES
NEDERBERG,CAB,SAUV,GEN,Pcs,WINES
SANGRIA,15LGEN,Pcs,WINES,18170C128,1
FOUR,COUSINS,RED,GEN,Pcs,WINES
FOUR,COUSINS,WHITE,GEN,Pcs,WINES
SANGRIA,1LGEN,Pcs,WINES,18173C128,1
DROSTYHOF,WHITE,5L,GEN,Pcs,WINES
DROSTYHOF,RED,5L,GEN,Pcs,WINES
CHAMDOR,REDGEN,Pcs,WINES,18176C128,1
CASABUENA,Pcs,BOX,WINES,18177C128,1
CAPRICE,GEN,Pcs,BOX,WINES,18178C128
REDBULL,Pcs,ENERGY,DRINKS,18179C128,1
REDBUL,ZEROGEN,Pcs,ENERGY,DRINKS,18180C128
SHARK,GEN,Pcs,ENERGY,DRINKS,18181C128
PREDATOR,Pcs,ENERGY,DRINKS,18182C128,1
ALVARO,GEN,Pcs,ENERGY,DRINKS,18183C128
DELMONTE,Pcs,JUICE,&,SOFT,DRINKS
ALVARO,GEN,Pcs,JUICE,&,SOFT
LEMONADE,Pcs,JUICE,&,SOFT,DRINKS
GINGER,ALEGEN,Pcs,JUICE,&,SOFT
TONIC,GEN,Pcs,JUICE,&,SOFT
LIME,750MLGEN,Pcs,JUICE,&,SOFT
SODA,GEN,Pcs,JUICE,&,SOFT
SPARKLING,WATER,GEN,Pcs,JUICE,&
KERINGET,500ML,GEN,Pcs,JUICE,&
KERINGET,1LGEN,Pcs,JUICE,&,SOFT
DASANI,500MLGEN,Pcs,JUICE,&,SOFT
DASANI,1LGEN,Pcs,JUICE,&,SOFT
SAFARI,500MLGEN,Pcs,JUICE,&,SOFT
SAFARI,1LGEN,Pcs,JUICE,&,SOFT
TRUST,KISS,CLASSIC,GEN,Pcs,CONDOMS
TRUST,KISS,STUDDED,GEN,Pcs,CONDOMS
TRUST,CLASSICGEN,Pcs,CONDOMS,18201C128,1
TRUST,STUDDEDGEN,Pcs,CONDOMS,18202C128,1
ROBERTSON,750ML,GEN,Pcs,WINES,18203C128
BALLENTINES,1LGEN,Pcs,WINES,18204C128,1
BALLAIRE,750ML,GEN,Pcs,WINES,18205C128
ROSSO,NOBILEGEN,Pcs,WINES,18206C128,1
QUENCHER,1LGEN,Pcs,WINES,18207C128,1
HUMPTON,Pcs,WINES,18208C128,1,5
DROSTHOF,RED,750ML,GEN,Pcs,WINES
DROSTOFF,WHITE,750ML,GEN,Pcs,WINES
CHAMDOR,WHITE,GEN,Pcs,WINES,18211C128
MARTEL,BLUESWIFT,GEN,Pcs,WINES,18212C128
JACK,DANIEL’S,HONEY,1L,GEN,Pcs
MARA,MOJAGEN,Pcs,OTHERS,18214C128,1
White,Coffee,Small,150,GEN,Pcs
White,Coffee,Big,200,GEN,Pcs
Black,Coffee,Small,GEN,Pcs,BREAKFAST
Black,Coffee,BigGEN,Pcs,BREAKFAST,18218C128
White,Chocolate,Small,GEN,Pcs,BREAKFAST
White,Chocolate,Big,GEN,Pcs,BREAKFAST
Black,Chocolate,Small,GEN,Pcs,BREAKFAST
Black,Chocolate,Big,GEN,Pcs,BREAKFAST
Masala,Tea,Small,GEN,Pcs,BREAKFAST
Masala,Tea,BigGEN,Pcs,BREAKFAST,18224C128
Ginger,Tea,Small,GEN,Pcs,BREAKFAST
Ginger,Tea,BigGEN,Pcs,BREAKFAST,18226C128
Herbal,Tea,Small,GEN,Pcs,BREAKFAST
Herbal,Tea,BigGEN,Pcs,BREAKFAST,18228C128
Mixed,Tea,Small,GEN,Pcs,BREAKFAST
Mixed,Tea,BigGEN,Pcs,BREAKFAST,18230C128
Dawa,GEN,Pcs,BREAKFAST,18231C128,
Lemon,Coffee,Small,GEN,Pcs,BREAKFAST
Lemon,Coffee,Big,GEN,Pcs,BREAKFAST
Lemon,Tea,with,Honey,Small,GEN
Lemon,Tea,with,Honey,Big,GEN
Lemon,Water,Small,GEN,Pcs,BREAKFAST
Lemon,Water,Big,GEN,Pcs,BREAKFAST
Milo,SmallGEN,Pcs,BREAKFAST,18238C128,
Milo,Big,GEN,Pcs,BREAKFAST,18239C128
Black,Milo,Small,GEN,Pcs,BREAKFAST
Black,Milo,BigGEN,Pcs,BREAKFAST,18241C128
White,Milo,Small,GEN,Pcs,BREAKFAST
White,Milo,BigGEN,Pcs,BREAKFAST,18243C128
Porridge,(Wimbi),(Gourd),GEN,Pcs,BREAKFAST
Mango,JuiceGEN,Pcs,COLD,STARTERS,18245C128
Fresh,Milk,GlassGEN,Pcs,COLD,STARTERS
Maziwa,MalaGEN,Pcs,COLD,STARTERS,18247C128
Banana,Milk,Shake,GEN,Pcs,COLD
Strawberry,Milk,Shake,GEN,Pcs,COLD
Vanilla,Milk,Shake,GEN,Pcs,COLD
Fruit,SaladGEN,Pcs,COLD,STARTERS,18251C128
Fried,GizzardsGEN,Pcs,COLD,STARTERS,18252C128
Lyonnaise,Potatoes,GEN,Pcs,COLD,STARTERS
Ndazi,GEN,Pcs,SNACKS,18254C128,
Chapati,(Brown/White),GEN,Pcs,SNACKS,18255C128
Pancake,GEN,Pcs,SNACKS,18256C128,
Kebab,GEN,Pcs,SNACKS,18257C128,
Samosa,GEN,Pcs,SNACKS,18258C128,
Samosa,Special,(Meat),GEN,Pcs,SNACKS
Sausage,GEN,Pcs,SNACKS,18260C128,
Sausage,SpecialGEN,Pcs,SNACKS,18261C128,
Boiled,Eggs,(2)GEN,Pcs,SNACKS,18262C128
Fried,EggsGEN,Pcs,SNACKS,18263C128,
Plain,OmeletteGEN,Pcs,SNACKS,18264C128,
Scrambled,EggsGEN,Pcs,SNACKS,18265C128,
Spanish,Omelette,GEN,Pcs,SNACKS,18266C128
Vegetable,Spring,Rolls,GEN,Pcs,SNACKS
Toast,GEN,Pcs,SNACKS,18268C128,
Toasted,BreadGEN,Pcs,SNACKS,18269C128,
Street,PotatoesGEN,Pcs,SNACKS,18270C128,
"Eggs,Toasted",Bread,GEN,Pcs,SNACKS,18271C128
Yams,GEN,Pcs,SNACKS,18272C128,
Mayai,MachoGEN,Pcs,SNACKS,18273C128,
Hot,Dog,GEN,Pcs,SNACKS,18274C128
French,ToastGEN,Pcs,SNACKS,18275C128,
Chips,GEN,Pcs,SNACKS,18276C128,
Chips,MasalaGEN,Pcs,SNACKS,18277C128,
Eggs,CurryGEN,Pcs,SNACKS,18278C128,
Eggs,SandwichGEN,Pcs,SNACKS,18279C128,
Potatoes,Wedges,GEN,Pcs,SNACKS,18280C128
Chips,KukuGEN,Pcs,CHICKEN,18281C128,
Butter,ChickenGEN,Pcs,CHICKEN,18282C128,
Chicken,CurryGEN,Pcs,CHICKEN,18283C128,
Chicken,Pilau,1/4,GEN,Pcs,CHICKEN
Chicken,Spring,Rolls,GEN,Pcs,CHICKEN
Chicken,Honey,1/2,GEN,Pcs,CHICKEN
Chicken,Honey,1/4,GEN,Pcs,CHICKEN
Chicken,Curry,1/4,GEN,Pcs,CHICKEN
Chicken,Curry,1/2,GEN,Pcs,CHICKEN
Chicken,Curry,3/4,GEN,Pcs,CHICKEN
Chicken,Curry,Full,GEN,Pcs,CHICKEN
Whole,Fish,Boiled,(Tilapia),GEN,Pcs
Whole,Fish,Boiled,(Nile,Perch),GEN
Coconut,FishGEN,Pcs,FISH,18294C128,
Lemon,FishGEN,Pcs,FISH,18295C128,
Sun,dried,Fish,(Tilapia),GEN,Pcs
Cream,FishGEN,Pcs,FISH,18297C128,
1Kg,MeatGEN,Pcs,SERVICES,18298C128,
1/2,MeatGEN,Pcs,SERVICES,18299C128,
Kuku,FullGEN,Pcs,SERVICES,18300C128,
Vegetables,Pcs,SERVICES,18301C128,,
1/4,Chicken,(Dry/wet,Fry),GEN,Pcs
1/2,Chicken,(Dry/wet,Fry),GEN,Pcs
3/4,Chicken,(Dry/wet,Fry),GEN,Pcs
Full,Chicken,(Dry/wet,Fry),1600,GEN
1/4,Beef,(Dry/wet,Fry/Choma/Steak),300,GEN
1/2,Beef(Dry/wet,Fry/Choma/Steak),600,GEN,Pcs
3/4,Beef,(Dry/wet,Fry/Choma/Steak),900,GEN
1kg,Beef,(Dry/wet,Fry/Choma/Steak),1200,GEN
1/4,Liver,(Dry/wet,Fry/Choma),350,GEN
1/2,Liver,(Dry/wet,Fry/Choma),700,GEN
3/4,Liver,(Dry/wet,Fry/Choma),"1,000",GEN
1Kg,Liver,(Dry/wet,Fry/Choma),"1,400",GEN
1/4,Matumbo,Mbuzi,(Dry/wet,Fry/Choma),300
1/2,Matumbo,Mbuzi,(Dry/wet,Fry/Choma),600
1kg,Matumbo,Mbuzi,(Dry/wet,Fry/Choma),GEN
1/2,Beef,Tumbukiza,(Dry/wet,Fry),600
1Kg,Beef,Tumbukiza,(Dry/wet,Fry)1200,GEN
1/4,Sun,Dried,Meat,(Aliya),350
1/4,Chwaks,300GEN,Pcs,Chwaks,18320C128
MBUZI,1/4.GEN,Pcs,CHOMA,18321C128,
MBUZI,1/2.GEN,Pcs,CHOMA,18322C128,
MBUZI,3/4.GEN,Pcs,CHOMA,18323C128,
MBUZI,1Kg.GEN,Pcs,CHOMA,18324C128,
MATUMBO,1/4.GEN,Pcs,CHOMA,18325C128,
MATUMBO,1/2.GEN,Pcs,CHOMA,18326C128,
MATUMBO,3/4.GEN,Pcs,CHOMA,18327C128,
MATUMBO,1kg.GEN,Pcs,CHOMA,18328C128,
BEEF,1/4.GEN,Pcs,CHOMA,18329C128,
BEEF,1/2.GEN,Pcs,CHOMA,18330C128,
BEEF,3/4.GEN,Pcs,CHOMA,18331C128,
BEEF,1Kg.GEN,Pcs,CHOMA,18332C128,
MATUMBO,1/4.GEN,Pcs,CHOMA,18333C128,
MATUMBO,1/2.GEN,Pcs,CHOMA,18334C128,
MATUMBO,3/4.GEN,Pcs,CHOMA,18335C128,
MATUMBO,1kg.GEN,Pcs,CHOMA,18336C128,
TUMBUKIZA,BEEF,1/4.,GEN,Pcs,TUMBUKIZA
TUMBUKIZA,BEEF,1/2.,GEN,Pcs,TUMBUKIZA
TUMBUKIZA,BEEF,3/4.,GEN,Pcs,TUMBUKIZA
TUMBUKIZA,BEEF,1Kg.,GEN,Pcs,TUMBUKIZA
TUMBUKIZA,MBUZI,1/4.,GEN,Pcs,TUMBUKIZA
TUMBUKIZA,MBUZI,1/2.,GEN,Pcs,TUMBUKIZA
TUMBUKIZA,MBUZI,3/4.,GEN,Pcs,TUMBUKIZA
TUMBUKIZA,MBUZI,1Kg.,GEN,Pcs,TUMBUKIZA
CHICKEN,CHOMA,1/4.,GEN,Pcs,CHOMA
CHICKEN,CHOMA,1Kg.,GEN,Pcs,CHOMA
CHICKEN,CHOMA,1/2.,GEN,Pcs,CHOMA
CHICKEN,CHOMA,3/4.,GEN,Pcs,CHOMA
KUKU,TUMBUKIZA,Full,GEN,Pcs,TUMBUKIZA
PORK,CHOMA,1/2.,GEN,Pcs,CHOMA
PORK,CHOMA,1Kg.,GEN,Pcs,CHOMA
Charcoal,Grilled,Tilapia,(Ng'enge),GEN,Pcs
Charcoal,Grilled,Nile,Perch,(Buta),GEN
Matoke,GEN,Pcs,MAIN-DISHES,18354C128,
Rice,White,(Plain,GEN,Pcs,MAIN-DISHES
Pilau,PlainGEN,Pcs,MAIN-DISHES,18356C128,
Roast,PotatoesGEN,Pcs,MAIN-DISHES,18357C128,
Rice,PotatoesGEN,Pcs,MAIN-DISHES,18358C128,
Kachumbari,Plate,GEN,Pcs,MAIN-DISHES,18359C128
Mashed,Potatoes,GEN,Pcs,MAIN-DISHES,18360C128
Mixed,Vegetable,GEN,Pcs,MAIN-DISHES,18361C128
Mixed,Vegetable,Rice,GEN,Pcs,MAIN-DISHES
Fried,RiceGEN,Pcs,MAIN-DISHES,18363C128,
Honey,ShotsGEN,Pcs,MAIN-DISHES,18364C128,
Ugali,GEN,Pcs,MAIN-DISHES,18365C128,
Ugali,BrownGEN,Pcs,MAIN-DISHES,18366C128,
Ugali,SpecialGEN,Pcs,MAIN-DISHES,18367C128,
Mokimo,PlateGEN,Pcs,MAIN-DISHES,18368C128,
Omena,Plate,(Creamed),GEN,Pcs,MAIN-DISHES
Pilau,BeefGEN,Pcs,MAIN-DISHES,18370C128,
Managu,Cream,Special,GEN,Pcs,VEGETABLE
Sagaa,Cream,Special,GEN,Pcs,VEGETABLE
Masosa,(Pumpkin,Leaves,GEN,Pcs,VEGETABLE
Kunde/Beans,Leaf,GEN,Pcs,VEGETABLE,18374C128
Nderema,(Special,Order),GEN,Pcs,VEGETABLE
Murenda,Pcs,VEGETABLE,18376C128,,
Cabbage,SpecialGEN,Pcs,VEGETABLE,18377C128,
Sukuma,SpecialGEN,Pcs,VEGETABLE,18378C128,
Spinach,SpecialGEN,Pcs,VEGETABLE,18379C128,
Bhajia,Fish,Wet/Dry,GEN,Pcs,MAIN-DISHES
Bhajia,Kuku,Wet/Dry/Choma,1/4,GEN,Pcs
Bhajia,Mbuzi,Choma,1/4,GEN,Pcs
Bhajia,Mbuzi,Wet/Dry,1/4,GEN,Pcs
Bhajia,Beef,Choma,1/4,GEN,Pcs
Mushroom,SoupGEN,Pcs,SOUPS,18385C128,
Cream,of,Chicken,GEN,Pcs,SOUPS
Chicken,Clear,Soup,GEN,Pcs,SOUPS
Bone,SoupGEN,Pcs,SOUPS,18388C128,
1/2,PorkGEN,Pcs,PORK,18389C128,
1Kg,PorkGEN,Pcs,PORK,18390C128,
Beef,BurgerGEN,Pcs,BURGER,18391C128,
Chicken,BurgerGEN,Pcs,BURGER,18392C128,
Chicken,Burger,1/4,GEN,Pcs,BURGER
Chicken,Burger1/2,GEN,Pcs,BURGER,18394C128
ROBERTSON,750ML,GEN,Pcs,WINES,18395C128
BALLENTINE,1L.GEN,Pcs,WINES,18396C128,
BALLAIRE,750ML,GEN,Pcs,WINES,18397C128
ROSSO,NOBILEGEN,Pcs,WINES,18398C128,
QUENCHER,1LGEN,Pcs,WINES,18399C128,
HUMPTON,Pcs,WINES,18400C128,,
DROSTOFF,WHITE,750ML,GEN,Pcs,WINES
CHAMDOR,WHITE,GEN,Pcs,WINES,18403C128
JACK,DANIEL’S,HONEY,1L,GEN,Pcs
COCKTAILLS,Pcs,COCKTAILLS,18411C128,0,
FULL,BREAKFAST,Pcs,BREAKFAST,18412C128,0
BHAJIA,Pcs,BREAKFAST,18413C128,0,
shisha,Pcs,18419C128,1,,
Martell,VS,1LCognac,Pcs,Cognac,21841C128
Hampton,dramGEN,Pcs,WHISKEY,21842C128,1
Camino,totTequila,Pcs,GIN,21910C128,1
Fish,cream,Pcs,(Dry/wet,Fry),21939C128
Ballentine,750ml,GEN,Pcs,Cognac,21948C128
Famous,grouse,750ml,Cognac,Pcs,21949C128
gilbeys,gin,totGEN,Pcs,GIN,22074C128
Jameson,tot,Pcs,Cognac,22128C128,1
Jagermeister,totTequila,Pcs,22342C128,1,
Lime,tot,Pcs,22343C128,1,
JACK,DANIELS,HONEY,1LPcs,22344C128,1
EXPIRES,INEXPIRY,PERIOD,UNIT,(months/days),APPLICABLE
PURCHASE,PRICE,(Excluding,tax),PROFIT,MARGINSELLING
ROW,POSITIONIMAGE,PRODUCT,DESCRIPTION,CUSTOM,FIELD
